#for letting users know that Sugimoto et al. genes with zero levels of expression are due to the fact that they aren't on the Qiagen V1.0 oligo array that Sugimoto et al. used (Chatfield et al., 2012; Lookup from 2009-07-29)
AtMg00640	244901_at
At3g44990	252607_at
At3g45120	252610_x_at
At3g45250	252620_at
At3g45270	252621_at
At3g44735	252624_at
At2g02190	252631_s_at
At2g07250	252631_s_at
At2g15150	252631_s_at
At2g15210	252631_s_at
At3g44470	252631_s_at
At3g47280	252631_s_at
At5g34890	252631_s_at
252632_s_at	252632_s_at
At3g44490	252633_x_at
At3g44660	252633_x_at
At3g44740	252654_at
At3g44270	252675_at
At3g44410	252685_at
252686_at	252686_at
At3g44000	252687_at
At3g44030	252689_at
252690_at	252690_at
At1g36040	252695_s_at
At3g43640	252695_s_at
At3g43650	252696_at
At3g43690	252700_at
At3g43730	252702_at
At3g43820	252708_at
At3g43900	252715_x_at
252722_at	252722_at
At3g43050	252725_at
At3g43060	252726_at
At1g24938	252727_s_at
At1g35100	252727_s_at
At1g44850	252727_s_at
At2g10390	252727_s_at
At3g43070	252727_s_at
At4g03979	252727_s_at
At5g36035	252727_s_at
At3g43080	252728_at
At3g43100	252729_at
At3g43130	252731_at
At3g43140	252732_at
At3g43310	252744_at
At3g43390	252749_at
At3g43510	252754_at
At3g42710	252758_at
At3g42730	252760_x_at
At3g42725	252763_at
252768_at	252768_at
At3g42900	252772_at
At3g42930	252775_s_at
At5g30545	252775_s_at
At3g43020	252782_at
At3g43020	252783_at
At3g43040	252784_at
At3g42220	252790_at
At3g42220	252791_at
At3g42260	252794_at
252795_at	252795_at
At3g42290	252796_at
At3g42330	252800_at
At3g42360	252803_at
At3g42360	252804_at
At3g42420	252808_at
252813_at	252813_at
At4g39955	252822_at
At4g40045	252823_at
At4g39980	252831_at
At3g42080	252837_at
252840_at	252840_at
At3g42170	252847_at
At4g39900	252852_at
At4g39770	252858_at
At4g39753	252865_at
252874_at	252874_at
At4g39675	252882_at
At4g39260	252885_at
252919_at	252919_at
252923_at	252923_at
At4g39235	252946_at
At4g38220	253033_at
At4g37445	253045_at
At4g37295	253047_at
253080_at	253080_at
At4g36230	253082_at
At4g36280	253085_s_at
At4g36105	253102_at
253105_at	253105_at
At4g35985	253113_at
At4g35905	253117_at
At4g35987	253122_at
253127_at	253127_at
At4g35620	253148_at
At4g35725	253164_at
253176_at	253176_at
253186_at	253186_at
At4g35335	253189_at
At4g35335	253190_at
At1g17275	253194_s_at
At1g48250	253194_s_at
At1g78350	253194_s_at
At4g35400	253194_s_at
At4g34555	253202_at
At4g35020	253225_at
At4g35030	253227_at
At4g34370	253236_at
At4g34240	253237_at
253260_at	253260_at
At4g34220	253278_at
At4g33660	253302_at
At4g33900	253315_at
At4g33990	253319_at
At4g33980	253322_at
At4g33940	253324_at
At4g33925	253325_at
At4g33500	253335_at
At4g33520	253339_at
At4g33520	253342_at
253345_at	253345_at
253348_at	253348_at
253349_at	253349_at
253350_at	253350_at
253355_at	253355_at
At4g33200	253368_at
At4g32690	253393_at
At4g32710	253397_at
253398_at	253398_at
253415_at	253415_at
At4g32605	253445_at
253450_at	253450_at
At4g31875	253454_at
253460_at	253460_at
At4g32105	253463_at
At4g32220	253471_at
253507_at	253507_at
At4g31290	253522_at
At4g30993	253548_at
At4g30996	253551_at
At4g31050	253553_at
At4g31080	253555_at
253557_at	253557_at
253568_at	253568_at
At4g31250	253569_at
253572_at	253572_at
At4g31080	253577_at
253590_at	253590_at
253591_at	253591_at
At4g30820	253594_at
At4g30935	253603_at
At4g30990	253605_at
At4g30070	253655_at
At4g29640	253682_at
At4g29735	253694_at
At4g29740	253696_at
At4g29800	253699_at
At4g29490	253704_at
253711_at	253711_at
At4g29390	253715_at
At4g29490	253719_at
At4g29285	253724_at
At4g28703	253737_at
At4g28706	253740_at
At4g28900	253742_at
253760_at	253760_at
253761_at	253761_at
At4g28830	253762_at
At4g28860	253764_s_at
At4g28880	253764_s_at
At4g28560	253769_at
At4g28710	253793_at
253797_at	253797_at
253801_at	253801_at
At4g28370	253820_at
At4g27652	253830_at
At4g27654	253832_at
At4g27820	253835_at
At4g27910	253843_at
At4g27657	253859_at
253867_at	253867_at
At4g27410	253872_at
At4g27435	253877_at
At4g27200	253905_s_at
At4g27210	253905_s_at
253912_at	253912_at
At4g26900	253921_at
253960_at	253960_at
At4g26555	253973_at
At4g26540	253974_at
At4g25970	254035_at
At4g25830	254041_at
At4g25350	254060_at
At4g25360	254061_at
At4g25480	254066_at
254067_at	254067_at
At4g24800	254089_at
254136_at	254136_at
At4g24010	254186_at
At4g23885	254190_at
254199_at	254199_at
At4g24170	254205_at
At4g24180	254206_at
At4g23710	254216_at
254222_at	254222_at
At4g23810	254231_at
At4g23496	254240_at
At4g23210	254243_at
254244_at	254244_at
At4g23290	254250_at
At4g23493	254263_at
At4g22756	254280_at
254282_at	254282_at
At4g23010	254291_at
254315_at	254315_at
254316_at	254316_at
At4g22753	254333_at
254337_at	254337_at
At4g22100	254339_at
254354_at	254354_at
At4g22380	254355_at
At4g22160	254362_at
At4g22020	254364_at
At1g57640	254366_s_at
At4g22040	254366_s_at
At5g25045	254366_s_at
At5g54203	254366_s_at
At4g21710	254368_at
At4g21730	254373_at
At4g21650	254377_at
254380_at	254380_at
254381_at	254381_at
At4g21600	254392_at
254395_at	254395_at
At4g21323	254403_at
At4g21360	254406_at
At4g21410	254410_at
At4g21420	254411_at
254414_at	254414_at
At4g21105	254429_at
254436_at	254436_at
At3g06433	254437_s_at
At4g20400	254464_at
At4g20490	254470_at
At4g20500	254471_s_at
At4g20730	254471_s_at
254484_at	254484_at
At4g20200	254509_at
At4g19910	254518_at
At4g19980	254522_at
254523_at	254523_at
At4g19610	254527_at
At4g19720	254536_at
At4g19740	254538_at
At4g19780	254541_at
At4g17450	254542_s_at
At4g19790	254542_s_at
254554_at	254554_at
At4g19185	254558_at
At4g19200	254559_at
At4g19260	254567_s_at
At4g19340	254567_s_at
At4g19320	254569_s_at
At5g36020	254569_s_at
At4g19460	254575_at
254584_at	254584_at
254587_at	254587_at
At4g18975	254596_at
254601_at	254601_at
At4g19040	254602_at
At4g19045	254603_at
At4g19095	254611_at
At4g19191	254614_at
At4g18590	254620_at
At4g18480	254623_at
At4g18395	254627_at
At4g18593	254628_at
At4g18425	254629_at
254650_at	254650_at
At4g18330	254666_at
At4g18370	254669_at
At4g18410	254671_at
At4g18465	254675_at
254679_at	254679_at
At4g13800	254683_at
At4g13850	254684_at
254694_at	254694_at
At4g17905	254695_at
At4g17890	254709_at
At4g18050	254710_at
254738_at	254738_at
At4g13345	254744_at
At4g13120	254748_at
254751_at	254751_at
254756_at	254756_at
At4g13195	254761_at
254766_at	254766_at
At4g13410	254773_at
At4g11830	254846_at
At4g11850	254847_at
At4g12020	254852_at
At4g12160	254856_at
At4g12030	254862_at
At4g12180	254864_at
254865_s_at	254865_s_at
At4g11900	254870_at
At4g11745	254885_at
At4g11830	254893_at
At4g11175	254910_at
At4g10820	254940_at
At1g30030	254941_s_at
At4g10830	254941_s_at
At4g10930	254944_at
At4g10990	254947_at
At4g10970	254957_at
254960_at	254960_at
At4g11050	254962_at
254963_at	254963_at
At4g10460	254973_at
At4g10470	254982_at
At4g10570	254984_s_at
At4g10590	254984_s_at
At1g42605	254985_x_at
At4g10580	254985_x_at
At4g10660	254987_s_at
At4g10700	254987_s_at
At4g10690	254989_at
255020_at	255020_at
At4g09480	255030_at
At4g09540	255034_at
At4g09710	255051_at
At2g14320	255058_s_at
At3g33377	255058_s_at
At3g34299	255058_s_at
At3g45340	255058_s_at
At4g04393	255058_s_at
At4g09410	255058_s_at
At4g08970	255063_at
255071_at	255071_at
255082_at	255082_at
At4g09220	255084_s_at
At4g09270	255084_s_at
At4g08500	255095_at
At4g08600	255096_at
255097_at	255097_at
255098_at	255098_at
At4g08650	255099_at
255100_at	255100_at
At1g78095	255102_s_at
At4g08680	255102_s_at
At4g08830	255114_at
At4g08880	255119_at
At4g08890	255120_x_at
At4g08490	255122_at
At4g08170	255132_at
255139_s_at	255139_s_at
At4g08420	255141_at
At4g08390	255142_at
255144_at	255144_at
255145_at	255145_at
At4g08220	255154_at
255155_at	255155_at
At4g07780	255156_at
At4g07790	255157_at
At4g07810	255159_at
255161_at	255161_at
At4g07840	255162_at
255163_at	255163_at
255164_at	255164_at
At4g07890	255165_at
255166_at	255166_at
At4g07920	255167_at
At4g07920	255168_at
At4g07970	255170_at
At4g08000	255172_x_at
At4g08020	255173_at
At4g08030	255174_at
At4g08050	255178_at
At4g08090	255179_at
255180_at	255180_at
At4g08110	255181_at
At4g07730	255184_at
At4g07750	255186_at
At2g12390	255187_s_at
At4g07760	255187_s_at
255188_at	255188_at
At4g07360	255190_x_at
At4g07370	255191_at
At4g07425	255195_at
At4g07430	255196_x_at
At4g07450	255197_x_at
255201_at	255201_at
At4g07540	255205_at
255206_at	255206_at
At4g07515	255207_at
At4g07580	255208_at
At4g07586	255209_at
At4g07600	255210_at
At4g07600	255211_at
255212_at	255212_at
At4g07640	255213_at
255214_at	255214_at
At4g07660	255215_at
At2g07395	255217_s_at
At3g30465	255217_s_at
At4g07680	255217_s_at
At4g07700	255218_at
At4g07720	255219_at
At4g05500	255234_at
At4g05510	255235_at
At4g05550	255237_at
At4g05600	255241_at
At4g05610	255242_at
At4g07330	255247_at
At4g05280	255273_at
At4g04600	255282_at
At4g04660	255287_at
255291_at	255291_at
At2g12680	255297_x_at
At4g04820	255297_x_at
At5g35025	255297_x_at
At4g04800	255301_at
At4g04550	255311_at
At4g04560	255312_at
At4g04590	255313_at
At4g04150	255314_at
At4g04165	255315_at
At4g04170	255316_at
At4g04230	255320_at
255321_at	255321_at
At4g04270	255322_at
At4g04280	255323_at
At2g07420	255324_s_at
At4g04290	255324_s_at
At4g04300	255326_at
At3g45520	255330_s_at
At4g04380	255330_s_at
At4g04410	255333_at
At4g04420	255334_at
At4g04430	255335_at
At4g04440	255336_at
At4g03800	255346_at
At4g03810	255347_at
At4g03840	255350_at
At4g03850	255351_x_at
At4g03860	255352_at
At4g03870	255353_at
At4g03880	255354_at
At1g40123	255356_x_at
At2g10140	255356_x_at
At3g30680	255356_x_at
At4g03900	255356_x_at
At4g03930	255357_at
At4g03990	255361_at
At4g04000	255362_at
At4g04050	255366_x_at
255367_at	255367_at
At4g04070	255368_at
At4g04100	255370_at
At4g04120	255372_at
At4g03770	255374_at
At4g03780	255375_at
At4g03790	255376_x_at
255389_at	255389_at
At4g03700	255394_at
At4g03710	255395_at
255396_at	255396_at
255397_at	255397_at
At4g03760	255400_at
At4g03205	255402_at
At4g03153	255404_at
At4g03156	255414_at
255445_at	255445_at
At4g02960	255463_at
255466_at	255466_at
At4g02430	255472_at
255475_at	255475_at
At4g02490	255476_at
At4g02485	255480_at
255489_at	255489_at
At4g01575	255536_at
At4g01710	255539_at
At4g01897	255554_at
At3g48670	255566_s_at
At4g01780	255566_s_at
At4g01150	255567_at
At4g01220	255571_at
At4g01490	255581_at
At4g01020	255600_s_at
At5g10370	255600_s_at
At4g01390	255621_at
At4g00780	255626_at
At4g00955	255627_at
255641_at	255641_at
255643_at	255643_at
At4g00940	255651_at
At4g00970	255654_at
At4g00895	255659_at
At4g00420	255663_at
At4g00416	255669_at
At4g00430	255674_at
255678_at	255678_at
At4g00630	255686_at
At4g00630	255687_at
255689_at	255689_at
255690_at	255690_at
At4g00160	255705_at
At4g00232	255708_at
At4g00350	255717_at
At1g25375	255743_at
At1g32000	255748_at
At1g16790	255759_at
255771_at	255771_at
At2g33250	255793_at
At1g19930	255813_at
At2g40475	255825_at
At2g33440	255836_at
255867_at	255867_at
At1g67000	255879_at
At1g67060	255880_at
At1g20280	255882_x_at
255890_at	255890_at
255897_at	255897_at
At5g28620	255915_at
At5g28550	255916_at
At5g28560	255917_at
255919_at	255919_at
At5g28590	255920_at
255930_at	255930_at
At1g12720	255932_at
At1g12700	255935_at
At1g12620	255938_at
At5g28600	255944_at
At3g29510	255971_at
At3g29510	255972_at
At5g25615	255972_at
At3g32400	255973_at
At3g31023	255974_at
255975_at	255975_at
At5g35010	255986_x_at
255987_s_at	255987_s_at
255988_at	255988_at
255989_at	255989_at
At1g29790	255992_at
At1g29780	255998_at
At3g31460	256004_at
At1g34080	256005_at
At1g19270	256013_at
At1g19150	256015_at
256019_at	256019_at
At1g34100	256031_at
At1g34090	256032_at
At1g19160	256037_at
256046_at	256046_at
At1g07025	256048_at
At1g07030	256055_at
At1g07180	256057_at
At1g07170	256067_at
At1g18100	256073_at
At1g20690	256080_at
256090_at	256090_at
At1g20693	256091_at
256101_at	256101_at
At1g16830	256107_at
At1g16820	256111_at
At1g18160	256121_at
At1g18220	256124_at
256127_at	256127_at
At1g11265	256136_s_at
At1g21945	256136_s_at
At1g48710	256136_s_at
At1g48720	256136_s_at
At1g58140	256136_s_at
At3g59720	256136_s_at
At3g61330	256136_s_at
At5g13205	256136_s_at
At1g48690	256137_at
At1g55120	256150_at
At1g55060	256153_at
At1g30135	256159_at
At1g36830	256167_at
At1g51790	256170_at
At1g51750	256171_s_at
At3g14517	256171_s_at
256172_at	256172_at
At1g51740	256182_at
At1g36810	256194_at
256195_at	256195_at
256196_at	256196_at
At1g36910	256197_at
At3g12610	256237_at
At3g11320	256250_at
At3g12210	256264_at
256265_at	256265_at
At3g12250	256269_at
256280_at	256280_at
256298_at	256298_at
At1g69550	256303_at
At1g69523	256304_at
At1g35820	256312_x_at
At1g76860	256333_at
At1g72125	256334_at
At1g54926	256346_s_at
At2g01029	256346_s_at
At2g01040	256346_s_at
At3g30816	256346_s_at
At1g54923	256347_at
At1g66510	256363_at
At1g66790	256369_at
At3g50674	256369_at
At1g66780	256370_at
256406_at	256406_at
256419_at	256419_at
At1g33475	256420_at
At2g40205	256438_s_at
At3g08520	256438_s_at
At3g11120	256438_s_at
At3g56020	256438_s_at
256445_at	256445_at
At1g33460	256449_at
At1g36190	256463_s_at
At3g32230	256463_s_at
At1g32590	256467_at
At5g45605	256467_at
At1g42570	256470_at
At1g42610	256472_at
At1g42650	256474_at
256476_at	256476_at
At1g42690	256477_at
At1g42650	256478_at
At1g36620	256500_at
At1g33260	256529_at
At3g32900	256538_x_at
At3g32910	256539_at
At3g32917	256540_at
At3g14800	256545_at
At3g14840	256547_at
At3g31310	256549_at
256550_at	256550_at
At3g31320	256551_at
256552_at	256552_at
At3g31360	256553_at
At3g31380	256554_at
256555_at	256555_at
At3g31403	256556_at
At3g31410	256557_at
At3g31340	256559_at
At3g31330	256561_s_at
At3g31355	256561_s_at
At3g29775	256562_at
256565_at	256565_at
At3g19530	256566_at
At3g30730	256571_at
At3g30740	256572_at
At3g14860	256573_at
At3g31910	256591_at
At3g31915	256592_at
At1g36770	256595_x_at
At3g28530	256595_x_at
At3g28310	256602_at
At3g29640	256604_at
At3g30843	256609_at
At3g24460	256619_at
At3g28260	256635_at
256639_at	256639_at
At3g32260	256640_at
At3g32270	256641_at
At3g32280	256642_at
256643_at	256643_at
At3g32300	256644_at
At3g18840	256651_at
At3g32180	256667_at
At3g32200	256669_s_at
At5g30420	256669_s_at
At3g32220	256670_at
At3g32100	256685_at
At3g32110	256686_at
At3g32120	256687_x_at
At3g32130	256688_at
At3g32150	256689_at
At3g32160	256690_at
At3g32140	256691_at
At3g32050	256692_at
At3g32060	256693_at
At3g32080	256694_at
At3g32090	256695_at
At3g30310	256707_at
At3g30320	256708_at
At3g30330	256709_at
At2g34090	256715_at
256719_at	256719_at
256726_at	256726_at
256730_at	256730_at
At3g30360	256732_at
At3g29420	256737_at
At2g11180	256739_s_at
At3g29460	256739_s_at
At3g29370	256743_at
At3g30396	256748_x_at
At3g30400	256749_at
256752_at	256752_at
At3g25630	256758_at
At3g25650	256760_at
At3g25655	256762_at
At3g13660	256782_at
At3g13674	256784_at
At3g13672	256789_at
256791_at	256791_at
At3g22210	256796_at
At3g20900	256800_at
256801_at	256801_at
256810_at	256810_at
At3g22121	256824_at
At3g18540	256826_at
At3g32000	256840_x_at
256841_x_at	256841_x_at
At3g31940	256843_at
At2g06720	256844_s_at
At3g31955	256844_s_at
At3g42720	256844_s_at
At1g42605	256845_x_at
At3g31970	256845_x_at
At3g27980	256846_at
256849_at	256849_at
256850_at	256850_at
At3g15190	256855_at
At3g15140	256858_at
At3g24070	256863_at
At3g26380	256866_at
256876_at	256876_at
At3g15150	256887_at
At3g30660	256893_x_at
At3g24680	256895_at
256897_at	256897_at
At3g24670	256900_at
At3g30800	256901_at
At3g23990	256905_at
At3g23850	256912_at
At3g29600	256925_at
256929_at	256929_at
At3g22460	256930_at
At3g22490	256931_at
At3g30720	256940_at
At3g30710	256941_at
At3g23290	256942_at
At3g21140	256972_at
At3g20980	256973_at
At3g20990	256974_at
At3g21000	256975_at
At3g21020	256976_at
At3g21040	256977_at
At3g28590	256990_at
At3g25850	256996_at
At3g14120	257000_at
At3g14160	257009_at
At3g26922	257013_at
At3g28680	257015_at
257027_at	257027_at
257030_at	257030_at
At3g19184	257034_at
At3g19130	257037_at
At3g19220	257040_at
257041_at	257041_at
At3g18250	257061_at
257068_at	257068_at
At3g28190	257070_at
257091_at	257091_at
At3g30820	257096_at
At3g30830	257097_at
At3g30810	257098_at
At3g30490	257108_x_at
At3g30440	257110_x_at
At3g20180	257118_at
At3g17190	257133_at
At3g24400	257159_at
257160_at	257160_at
At3g24710	257166_at
At3g13160	257193_at
At3g23680	257195_at
At3g23720	257200_at
At3g16540	257230_at
257239_at	257239_at
At3g24210	257241_at
At3g24130	257246_at
At3g24120	257250_at
At3g14510	257274_at
At3g29732	257282_at
At3g29750	257283_at
At3g29650	257284_at
At3g29660	257287_at
At3g15550	257290_at
257296_at	257296_at
At3g28155	257298_at
At3g30220	257302_at
At3g30230	257303_at
At3g30240	257304_at
At3g28120	257308_at
257312_at	257312_at
At3g26520	257313_at
At3g26590	257314_at
At3g30750	257316_at
AtMg01060	257317_at
At2g07777	257318_at
AtMg01090	257318_at
At2g07812	257319_at
AtMg01100	257319_at
At2g07749	257320_at
AtMg01110	257320_at
AtMg01130	257321_at
AtMg01180	257322_at
AtMg01200	257323_at
At2g07826	257324_at
AtMg01210	257324_at
At2g07798	257325_at
AtMg01220	257325_at
At2g07697	257326_s_at
AtMg01230	257326_s_at
AtMg01240	257327_at
At2g07697	257328_s_at
AtMg01250	257328_s_at
At2g07813	257329_at
AtMg01260	257329_at
AtMg01290	257330_at
AtMg01330	257331_at
AtMg01350	257332_at
AtMg01360	257333_at
AtMg01370	257334_at
AtMg01400	257335_at
AtMg01410	257336_at
AtMg00060	257337_at
At2g07711	257338_s_at
AtMg00513	257338_s_at
At2g07671	257339_s_at
AtMg00040	257339_s_at
AtMg01080	257339_s_at
At2g10760	257340_at
At2g10400	257341_at
At1g42365	257342_at
At1g34904	257343_s_at
At1g34967	257343_s_at
At5g17125	257343_s_at
At1g45070	257344_s_at
At2g05490	257344_s_at
At2g12150	257344_s_at
At2g16150	257344_s_at
At5g28487	257344_s_at
At1g36540	257345_s_at
At1g41700	257345_s_at
At3g33066	257345_s_at
At3g30846	257346_at
At3g29792	257347_at
257350_x_at	257350_x_at
At2g33820	257351_at
At2g23480	257354_x_at
At2g41050	257357_at
257363_at	257363_at
257370_at	257370_at
At1g45070	257379_x_at
At2g12150	257379_x_at
At5g28487	257379_x_at
At2g15110	257384_at
257388_at	257388_at
257393_at	257393_at
257394_at	257394_at
At2g20875	257396_at
At2g20430	257397_at
At1g27060	257406_at
257412_at	257412_at
257414_at	257414_at
At2g15325	257438_at
At2g24880	257440_at
At2g10390	257445_x_at
At2g04230	257447_at
At1g65130	257453_at
At1g65740	257462_at
At1g14820	257463_at
At1g47470	257468_at
257472_at	257472_at
At1g33840	257473_at
At1g16130	257478_at
At1g16150	257479_at
At1g27820	257482_x_at
At1g73300	257500_s_at
At5g36180	257500_s_at
At1g35380	257501_at
At3g09330	257526_s_at
At3g09340	257526_s_at
At3g07250	257531_at
257539_at	257539_at
At3g26620	257548_s_at
At3g26660	257548_s_at
At3g24890	257554_at
257556_at	257556_at
At3g14490	257557_at
At3g29610	257566_x_at
At3g29265	257575_at
At3g30160	257578_x_at
At1g66480	257583_at
257585_at	257585_at
At1g50760	257586_at
At1g30150	257588_x_at
At3g24760	257596_at
At3g24770	257600_at
At3g13845	257609_at
At3g26614	257614_at
At3g24715	257618_at
257638_at	257638_at
At3g25720	257639_at
At3g20270	257666_at
257669_at	257669_at
At3g20300	257672_at
At3g20470	257679_at
At3g13240	257682_at
At3g12840	257692_at
At3g12730	257698_at
At3g12685	257706_at
At3g18510	257724_at
257738_at	257738_at
At3g27340	257741_at
At1g59770	257760_s_at
At3g23085	257760_s_at
At3g23040	257767_at
At3g29210	257777_x_at
At3g29220	257778_at
At3g26960	257793_at
At3g25170	257821_at
At3g26690	257830_at
At3g25182	257836_at
At3g25200	257837_at
At3g28400	257843_at
At3g13030	257848_at
At3g13060	257849_at
At3g12940	257851_at
At3g13040	257855_at
At3g12955	257859_at
At3g13062	257860_at
At3g13050	257861_at
At3g28490	257870_at
257871_at	257871_at
At3g17110	257874_at
At3g17140	257877_at
257878_at	257878_at
At3g16930	257882_at
At3g16960	257884_at
At3g16970	257885_at
At1g35600	257898_s_at
At1g40125	257898_s_at
At3g30670	257898_s_at
At3g32677	257898_s_at
At4g03910	257898_s_at
At5g45082	257898_s_at
257901_at	257901_at
257905_at	257905_at
At3g25520	257906_at
At3g16980	257929_at
At3g25450	257936_at
At3g21710	257946_at
At3g27560	257972_at
At3g20865	257986_at
257997_at	257997_at
At3g27510	257998_at
At3g29020	258004_at
At3g19515	258027_at
At3g21175	258041_at
At3g29010	258056_at
At3g25880	258073_at
At3g26110	258077_at
At3g26085	258081_at
At3g14595	258092_at
At3g23650	258096_at
At3g14700	258117_at
At3g24540	258131_at
At3g21680	258178_at
258180_at	258180_at
At3g29080	258190_at
At3g13965	258205_at
At3g14050	258207_at
At3g17950	258213_at
At3g15730	258226_at
258234_at	258234_at
At3g27800	258236_at
At1g08105	258246_s_at
At1g62766	258246_s_at
At3g29120	258246_s_at
At5g39060	258246_s_at
258247_at	258247_at
At3g29140	258248_at
At3g26782	258254_at
At3g15860	258266_at
At3g15870	258267_at
At3g16140	258285_at
258288_at	258288_at
At3g23450	258289_at
At3g23350	258294_at
At3g30510	258301_at
At3g30610	258302_at
At3g30620	258303_at
At3g30640	258304_at
At3g30650	258305_at
At3g30570	258308_at
At3g30585	258309_at
At3g16175	258315_at
At3g22710	258320_at
At3g16020	258335_at
At3g22650	258344_at
At3g17609	258349_at
At3g14340	258356_at
At3g14395	258370_at
At3g15550	258387_at
At3g15357	258397_at
At3g17611	258406_at
258418_at	258418_at
At3g17260	258441_at
258443_at	258443_at
At3g22340	258450_at
At3g17290	258459_at
At3g17360	258464_at
At3g06035	258470_at
At3g02580	258484_at
258492_at	258492_at
At3g02555	258493_at
At3g06540	258536_at
258539_at	258539_at
258542_at	258542_at
At3g06895	258547_at
At3g06940	258550_at
At3g04530	258570_at
258594_at	258594_at
258654_at	258654_at
258668_at	258668_at
At3g08800	258669_at
258688_at	258688_at
At3g11745	258726_at
At3g05850	258733_at
At3g11945	258755_at
258785_at	258785_at
At3g04605	258789_at
At3g04560	258801_at
At3g04590	258819_at
At3g07274	258833_at
258835_at	258835_at
At3g02120	258859_at
258891_at	258891_at
At3g05675	258899_at
At3g10640	258915_at
At3g09260	259009_at
At3g07380	259011_s_at
At3g60990	259011_s_at
At5g48190	259011_s_at
At3g07390	259018_at
At3g07370	259019_at
At3g33064	259024_at
At3g09405	259033_at
At3g09410	259034_at
At3g07530	259066_at
At3g11700	259072_at
259079_at	259079_at
At3g04880	259100_at
At3g10300	259137_at
259147_at	259147_at
At3g10380	259156_at
At3g09100	259202_at
At1g34610	259204_s_at
At3g09170	259204_s_at
At3g09150	259210_at
At3g09085	259214_at
259247_at	259247_at
At3g01170	259271_at
At3g11560	259292_at
259294_at	259294_at
259295_at	259295_at
259317_at	259317_at
At1g69050	259370_at
At1g13400	259386_at
At1g06320	259389_at
At1g17680	259397_at
At1g17730	259402_at
At1g17744	259405_at
At1g13320	259407_at
At1g02320	259413_at
At1g13810	259422_at
At1g13830	259424_at
At1g01520	259432_at
At1g01500	259436_at
At1g01540	259437_at
At1g01510	259438_at
At1g02300	259441_at
At1g44060	259452_at
At1g43950	259457_at
At1g44070	259459_at
At1g18910	259472_at
At1g19140	259475_at
At1g19020	259479_at
259490_at	259490_at
At1g15830	259492_at
At1g15840	259493_at
At1g15900	259496_at
At1g43930	259509_at
At1g43970	259510_at
At1g20630	259517_at
At1g12400	259529_at
At1g12470	259532_at
At1g12530	259533_at
At1g12290	259534_at
At1g12310	259538_at
At1g35350	259546_at
At1g35370	259547_at
At1g21320	259552_at
At1g21220	259554_at
At1g21290	259555_at
At1g21300	259556_at
At1g21210	259557_at
At1g20500	259567_at
At1g20490	259568_at
At1g20390	259573_at
At1g28135	259589_at
At1g35280	259601_s_at
At2g11060	259601_s_at
At2g12210	259601_s_at
259619_at	259619_at
At1g42705	259620_s_at
At4g12260	259620_s_at
259628_at	259628_at
259648_at	259648_at
At1g55250	259652_at
At1g55265	259661_at
At1g55250	259662_at
At1g55270	259667_at
At1g63040	259682_at
At1g77680	259704_at
At1g77655	259709_at
At1g60995	259716_at
At1g60960	259723_at
At1g61065	259725_at
At1g60985	259726_at
At1g60950	259727_at
At1g60970	259728_at
At1g64405	259735_at
At1g64350	259739_at
At1g29620	259779_s_at
At1g32720	259779_s_at
At3g43780	259779_s_at
At1g29650	259781_at
At1g29395	259789_at
At1g64270	259796_at
At1g64410	259797_at
At1g66260	259825_at
At1g72131	259829_at
At1g76700	259876_at
At1g76820	259881_at
259898_at	259898_at
259914_at	259914_at
259929_at	259929_at
At1g34350	259933_at
259936_at	259936_at
At1g71350	259948_at
At1g76630	259973_at
At1g75030	259987_at
At1g41797	259988_at
At1g67865	260012_at
At1g41795	260016_at
At1g41825	260019_at
At1g68875	260038_at
At1g68795	260039_at
At1g68765	260040_at
At1g41770	260043_at
At1g73805	260046_at
At1g73750	260048_at
260050_at	260050_at
At1g78200	260057_at
At1g73805	260068_at
At1g73650	260072_at
At1g78160	260080_at
At1g73177	260100_at
At1g35480	260105_at
260111_at	260111_at
At1g66380	260139_at
At1g66390	260140_at
At1g35970	260183_at
At1g35950	260184_s_at
At2g05084	260184_s_at
At5g34950	260184_s_at
At1g35995	260188_at
At1g52840	260202_at
At1g74530	260215_at
260247_at	260247_at
At1g74330	260255_at
260275_at	260275_at
At1g69220	260339_at
260342_at	260342_at
At1g69270	260345_at
260346_at	260346_at
At1g69295	260352_at
At1g69260	260357_at
260379_at	260379_at
At1g74055	260389_at
At1g69950	260404_at
At1g69935	260409_at
At1g68185	260443_at
260456_at	260456_at
260463_at	260463_at
260467_at	260467_at
At2g41705	260500_at
260533_at	260533_at
260534_at	260534_at
At2g43535	260549_at
At2g47220	260583_x_at
At1g53325	260591_at
At1g55960	260603_at
At2g43780	260605_at
At1g53345	260617_at
At1g08110	260619_at
At1g08065	260621_at
At1g08040	260626_at
At1g62310	260627_at
At1g62422	260635_at
At1g62380	260637_at
At1g53350	260640_at
At1g08030	260647_at
At1g32370	260650_at
At1g19390	260657_at
At1g19500	260661_at
At1g19520	260663_at
At1g19510	260664_at
At1g19520	260670_at
At1g19480	260672_at
260681_at	260681_at
At1g32390	260691_s_at
At2g23880	260691_s_at
At1g32490	260695_at
At1g32520	260696_at
At1g32300	260698_at
At1g32410	260707_s_at
At1g17545	260710_at
At1g48200	260715_at
At1g48210	260728_at
At1g17600	260734_at
At1g17610	260735_at
260743_at	260743_at
At1g49210	260748_at
260749_at	260749_at
At1g48940	260757_at
At1g49220	260763_at
